,ward,borough,inner,area,children,adults,elderly,age,education,crime,employed,benefits,migration,income,houseprice,cars,turnout
377,Kingston upon Thames - Berrylands,Kingston upon Thames,FALSE,1.5,1800,6500,1500,38.3,48.4,31.6,4813,7.3,15.9,42330,361125,1,38
378,Kingston upon Thames - Beverley,Kingston upon Thames,FALSE,1.9,2200,6900,1350,37.3,41.7,64.5,4807,7.2,30,40700,435000,1,41.2
379,Kingston upon Thames - Canbury,Kingston upon Thames,FALSE,1.2,3100,9050,1150,33.6,54.4,38.4,6529,6.3,21.2,45600,449500,0.9,35.2
380,Kingston upon Thames - Chessington North and Hook,Kingston upon Thames,FALSE,1.9,1800,5800,1400,38.3,22.8,43.9,4334,8.4,10.4,37230,310000,1.3,30.8
381,Kingston upon Thames - Chessington South,Kingston upon Thames,FALSE,7.6,2200,6800,1500,37.6,25.3,47.5,5291,7.3,6.8,38310,315000,1.4,30.4
382,Kingston upon Thames - Coombe Hill,Kingston upon Thames,FALSE,4.4,1950,7150,1600,37.1,44.5,47.8,4458,4.9,34.7,45650,480000,1.3,34.9
383,Kingston upon Thames - Coombe Vale,Kingston upon Thames,FALSE,1.6,2100,6550,1450,37.9,47.4,26.2,4619,5.2,20.1,44320,480000,1.2,40.5
384,Kingston upon Thames - Grove,Kingston upon Thames,FALSE,1.9,1950,8750,1050,33.4,47,268.5,5683,7.6,35.2,41410,4e+05,0.8,28.9
385,Kingston upon Thames - Norbiton,Kingston upon Thames,FALSE,1.3,2150,7500,1000,34,35.8,62.4,4973,11.2,30.6,34650,341750,0.8,29.2
386,Kingston upon Thames - Old Malden,Kingston upon Thames,FALSE,1.8,1850,6100,1750,39.9,34.4,29.6,4501,6.7,15.6,41760,395725,1.4,36.1
387,Kingston upon Thames - St. James,Kingston upon Thames,FALSE,2.2,1700,5900,1650,40.6,38,33.8,4061,6.7,22.9,41850,443567.5,1.3,37.8
388,Kingston upon Thames - St. Mark's,Kingston upon Thames,FALSE,1.4,1350,8650,900,33.6,48.3,49.7,5872,4.8,25.3,44930,395350,0.9,30.2
389,Kingston upon Thames - Surbiton Hill,Kingston upon Thames,FALSE,1.7,1900,7550,1450,37.7,52.2,29.6,5705,5.2,19,43160,396770,1,34.7
390,Kingston upon Thames - Tolworth and Hook Rise,Kingston upon Thames,FALSE,2.6,2150,7050,1450,37.3,30,53.7,4993,6.7,22.7,37840,337195,1.2,32.1
391,Kingston upon Thames - Tudor,Kingston upon Thames,FALSE,1.6,2150,6200,1450,38.5,51.3,33.1,4674,5.4,11.2,48530,550000,1.2,42.1
392,Lambeth - Bishop's,Lambeth,TRUE,1.5,1250,9200,950,34.9,47.2,243.6,5119,10.9,54.5,40360,590000,0.4,33.2
393,Lambeth - Brixton Hill,Lambeth,TRUE,1.1,2650,12900,1100,33.6,49.6,91.5,9214,13.7,55.3,39050,420000,0.5,34.3
394,Lambeth - Clapham Common,Lambeth,TRUE,1.3,2150,10500,950,33.4,63.3,85.6,8007,9.4,40.7,49520,620000,0.7,31.7
395,Lambeth - Clapham Town,Lambeth,TRUE,1.1,2150,11700,1000,33.8,59.7,142.5,8628,10.8,45.8,44960,610000,0.5,31
396,Lambeth - Coldharbour,Lambeth,TRUE,1.2,3550,12900,1050,32.4,36.8,180.9,7874,18.4,55.6,32220,435000,0.4,33.3
397,Lambeth - Ferndale,Lambeth,TRUE,0.9,2050,13400,950,33.4,52.9,145.6,9406,12.4,64.1,39480,497475,0.4,29.7
398,Lambeth - Gipsy Hill,Lambeth,TRUE,1.6,3150,9600,1150,33.9,39.3,79.6,6633,16.8,20.6,36650,350000,0.6,33.8
399,Lambeth - Herne Hill,Lambeth,TRUE,2,2950,11450,1200,34.3,52,92.4,8459,14.4,54,41700,432500,0.5,40.3
400,Lambeth - Knight's Hill,Lambeth,TRUE,1.5,3450,10350,1400,34.2,38.2,74.6,6876,17.3,35.8,36950,355000,0.6,34.2
401,Lambeth - Larkhall,Lambeth,TRUE,1.1,2900,13950,1150,32.9,48.5,92.8,9777,14,58.7,37260,430000,0.4,28.6
402,Lambeth - Oval,Lambeth,TRUE,1.3,2300,13150,1150,34.3,51.6,127.4,8847,12.2,60.1,39200,699995,0.4,34.2
403,Lambeth - Prince's,Lambeth,TRUE,1.2,2550,11450,1400,35.5,46.5,119.3,7480,16.1,61.8,37600,495000,0.4,37.8
404,Lambeth - St. Leonard's,Lambeth,TRUE,1.4,2800,11250,1150,34.1,46.3,104,8292,13,58.8,39880,340000,0.6,29.9
405,Lambeth - Stockwell,Lambeth,TRUE,0.9,2800,11350,1100,33.8,41,83.7,7863,14.8,70.8,35050,391375,0.4,34.4
406,Lambeth - Streatham Hill,Lambeth,TRUE,1.3,2700,11200,1250,34.5,46.4,76.9,7798,11.4,48.6,39250,359000,0.6,32.8
407,Lambeth - Streatham South,Lambeth,TRUE,1.7,2950,10150,1650,35.6,34.8,74.9,6900,13.3,59.3,36710,375000,0.8,33.1
408,Lambeth - Streatham Wells,Lambeth,TRUE,1.5,3050,10950,1250,34,42.6,72.7,8008,12.4,42.2,38270,345875,0.6,32.3
409,Lambeth - Thornton,Lambeth,TRUE,1.1,2800,10150,1050,33.1,47.8,55.2,6647,11.3,50.3,41880,511250,0.6,37.6
410,Lambeth - Thurlow Park,Lambeth,TRUE,1.5,3150,9350,1300,34.7,50.3,73.2,7074,13,35.1,41600,412747.5,0.7,39.4
411,Lambeth - Tulse Hill,Lambeth,TRUE,1,3300,11900,1100,32.9,42.7,80.3,8054,16.5,48.6,35610,417000,0.5,35.7
412,Lambeth - Vassall,Lambeth,TRUE,1.1,2600,11900,1100,33.9,41.3,81,7157,17.8,49.3,34830,395000,0.4,33.1
413,Lewisham - Bellingham,Lewisham,TRUE,3.1,3700,10000,1600,34.6,23.5,94,6198,20.3,25.4,31340,265000,0.7,26.6
414,Lewisham - Blackheath,Lewisham,TRUE,2.3,2700,10700,1550,35.9,53.2,83.9,7360,10.1,27.4,44870,385000,0.7,38.7
415,Lewisham - Brockley,Lewisham,TRUE,1.7,2950,14450,1150,33,47.3,78.8,9571,12.6,55,38100,330000,0.5,33
416,Lewisham - Catford South,Lewisham,TRUE,1.9,3200,10650,1800,36.6,34.2,44.8,7172,12.8,28.4,39070,332500,0.9,35
417,Lewisham - Crofton Park,Lewisham,TRUE,1.7,3200,10700,1450,35.4,45.1,58.4,7876,11.3,27.4,42560,455000,0.7,38.1
418,Lewisham - Downham,Lewisham,TRUE,2.4,3500,9600,1850,35.5,20.2,78.9,5793,20.8,21.8,30880,242500,0.7,24.7
419,Lewisham - Evelyn,Lewisham,TRUE,1.8,4250,13200,1050,31.3,33.5,69.6,7482,18,67.6,30560,315000,0.4,30
420,Lewisham - Forest Hill,Lewisham,TRUE,1.8,3300,10550,1500,35.4,46.4,69.9,7528,14.1,22.6,40960,340000,0.7,37.7
421,Lewisham - Grove Park,Lewisham,TRUE,2.4,3100,10100,1900,36.8,29.2,50.6,6764,14.9,22.9,36150,250000,0.9,30.7
422,Lewisham - Ladywell,Lewisham,TRUE,1.6,2750,11150,1350,34.8,44.5,55,7447,11.7,30.1,40290,370000,0.7,40.8
423,Lewisham - Lee Green,Lewisham,TRUE,1.8,3000,10300,1700,36.4,46.1,60.9,7639,12.4,29.6,42760,402500,0.7,41.2
424,Lewisham - Lewisham Central,Lewisham,TRUE,2.1,4050,14700,1500,33.6,42,134.9,8895,16.6,54.3,35760,290000,0.5,30.4
425,Lewisham - New Cross,Lewisham,TRUE,1.8,3550,13150,1000,31.8,34.7,108.5,7520,14.3,69.2,31520,242000,0.5,30.6
426,Lewisham - Perry Vale,Lewisham,TRUE,1.7,3350,11150,1550,35.5,41.5,54.6,7946,14,28,39130,355000,0.7,37.4
427,Lewisham - Rushey Green,Lewisham,TRUE,1.8,3800,11500,1350,34,32.9,118.7,6818,19.4,41.5,34670,270000,0.6,29.9
428,Lewisham - Sydenham,Lewisham,TRUE,1.7,3350,10950,1850,36.2,36.6,73.2,7327,16,25.5,37060,350000,0.7,35.6
429,Lewisham - Telegraph Hill,Lewisham,TRUE,1.5,3250,12750,1200,33.4,43.7,51.1,8512,14.4,44.9,37230,360000,0.6,36.1
430,Lewisham - Whitefoot,Lewisham,TRUE,2.2,3650,9800,1600,34.7,22.7,70.4,5802,18.6,27.1,32840,248000,0.8,27.7
431,Merton - Abbey,Merton,FALSE,1.4,1950,7700,900,34.8,55.4,71.6,6284,6.2,36.6,45370,482500,0.7,35.4
432,Merton - Cannon Hill,Merton,FALSE,2.2,1700,6100,1650,40.1,35.2,35.4,4665,6.3,25.6,42320,455000,1.2,40
433,Merton - Colliers Wood,Merton,FALSE,1.1,1900,8400,950,34.6,43.1,79.1,6385,7.5,57.9,38780,350000,0.7,35.8
434,Merton - Cricket Green,Merton,FALSE,3,2850,7650,1350,34.7,23.3,78.5,4967,14.7,48.4,29930,245000,0.7,35
435,Merton - Dundonald,Merton,FALSE,1.2,1800,6800,1000,35.7,60.7,60.4,5683,2.8,30.5,49910,565000,0.8,42.7
436,Merton - Figge's Marsh,Merton,FALSE,1.1,2850,7700,1150,33.8,25.3,78.8,5036,13.1,64.1,30860,250000,0.8,35.3
437,Merton - Graveney,Merton,FALSE,0.9,2000,6900,1200,35.8,32.1,55.6,4981,8.3,83.1,35580,388000,0.9,37.6
438,Merton - Hillside,Merton,FALSE,1.2,1400,6550,1300,38.6,64.6,56.7,5194,3.3,31.9,51480,563750,0.8,38.7
439,Merton - Lavender Fields,Merton,FALSE,1.2,2300,7500,850,33.6,32.6,57.9,5393,9.7,50,33360,280000,0.8,30.3
440,Merton - Longthornton,Merton,FALSE,1.5,2300,7050,1200,35.7,27.5,50.9,4737,9.9,40.9,34350,295000,1,34.9
441,Merton - Lower Morden,Merton,FALSE,1.8,1750,6050,1550,39.1,24.5,33.1,4660,6.9,17,38730,320000,1.3,36.5
442,Merton - Merton Park,Merton,FALSE,1.8,1950,6250,1550,38.6,50.1,54.8,4702,4.6,39.1,46300,522500,1,43
443,Merton - Pollards Hill,Merton,FALSE,2.2,2550,7050,1150,34.8,23.4,60.2,4560,14.4,28.7,31940,288000,1,34.1
444,Merton - Ravensbury,Merton,FALSE,1.8,2250,6700,1350,36.4,25.1,63.7,4489,13.6,52.1,32330,285000,0.9,33.7
445,Merton - Raynes Park,Merton,FALSE,1.9,2050,6550,1450,38,54.3,43.9,5072,5.6,26.2,49340,499500,1,40.1
446,Merton - St. Helier,Merton,FALSE,1.8,2350,6900,1450,36.6,23.4,51.4,4703,13,46.8,32530,280000,0.9,33.2
447,Merton - Trinity,Merton,FALSE,1.1,2050,7100,900,34.6,59.6,83.9,5925,6.4,34.1,47380,497000,0.8,38.1
448,Merton - Village,Merton,FALSE,6.2,1650,5350,1800,41.9,62.3,52.2,3730,2.3,19.5,62200,1530000,1.4,46.6
449,Merton - West Barnes,Merton,FALSE,2,2150,6600,1500,37.6,41.9,49.6,4990,5.3,22.1,44170,475000,1.1,41
450,Merton - Wimbledon Park,Merton,FALSE,2.3,2700,7750,1050,34.2,59.6,42.2,6198,5.3,30,50730,732500,1,44.7
451,Newham - Beckton,Newham,TRUE,6.3,3650,12200,800,30.5,27.9,125.2,6682,17.4,55.5,34100,233500,0.7,21.7
452,Newham - Boleyn,Newham,TRUE,0.9,4050,11000,1300,31.9,28.8,69.8,6291,17.5,123.6,31630,250000,0.6,33.7
453,Newham - Canning Town North,Newham,TRUE,2.5,3550,11850,1250,32.6,23.9,93.9,6103,25.8,103.3,28910,249000,0.5,27.3
454,Newham - Canning Town South,Newham,TRUE,1.8,4050,15100,1250,31.6,33.3,64.8,7403,23.2,78.3,32870,280000,0.5,23.3
455,Newham - Custom House,Newham,TRUE,2.1,3500,10400,1000,31.7,24.2,108.1,5839,22.9,80.1,31840,250000,0.7,22.8
456,Newham - East Ham Central,Newham,TRUE,1,3650,11350,1200,32,32.6,111.8,6503,15.8,149.2,32380,250000,0.6,33.7
457,Newham - East Ham North,Newham,TRUE,0.9,3050,10100,1100,32.2,31.1,54.7,5482,17.1,133.9,32340,249995,0.7,35.5
458,Newham - East Ham South,Newham,TRUE,1.8,4250,10800,1200,31.2,24.1,67.1,5952,19.4,86.5,31430,240000,0.7,30.4
459,Newham - Forest Gate North,Newham,TRUE,1.2,3500,11800,1250,32.7,33,64.7,7545,16.1,104.3,34270,313000,0.6,30.8
460,Newham - Forest Gate South,Newham,TRUE,1.2,3650,13300,1150,31.7,32.7,87.9,7985,17.7,106.3,34550,263900,0.6,29.2
461,Newham - Green Street East,Newham,TRUE,0.7,3650,11650,1000,30.9,30,60.1,6341,14.2,129.9,31570,260000,0.6,34.3
462,Newham - Green Street West,Newham,TRUE,0.8,3350,10950,1200,31.9,29.8,71.2,5873,14.7,125.3,31080,250000,0.7,33.8
463,Newham - Little Ilford,Newham,TRUE,1.9,4750,11200,1150,30.3,24.6,75.6,5774,20.6,98.5,29730,230000,0.6,31.4
464,Newham - Manor Park,Newham,TRUE,1.3,3750,10750,1100,31.4,30.2,66.8,5936,18,115.6,31580,249974.5,0.7,31
465,Newham - Plaistow North,Newham,TRUE,1,3700,10900,1200,32,26.8,61.9,6260,19.3,82,30740,250000,0.5,30.8
466,Newham - Plaistow South,Newham,TRUE,1.4,4700,11000,1100,30.9,26.2,92,6921,19.9,110.1,31750,250000,0.6,30.2
467,Newham - Royal Docks,Newham,TRUE,4.8,3450,12500,600,29.7,42.7,71.5,5750,18.4,48.3,38580,303500,0.7,21.3
468,Newham - Stratford and New Town,Newham,TRUE,4.2,3700,21750,1250,31.5,40.6,240.9,9665,17.8,88.1,35840,280000,0.4,24.3
469,Newham - Wall End,Newham,TRUE,1.4,3850,10300,1000,31.2,29.6,46.6,5786,14.7,125,32330,250000,0.7,35.7
470,Newham - West Ham,Newham,TRUE,1.3,3300,11600,1250,32.7,29.8,58.8,7002,18.5,106.8,32310,273500,0.5,28.9
471,Redbridge - Aldborough,Redbridge,FALSE,8.6,3500,10400,1900,35.4,32,66.3,6327,9.9,38.8,37310,315000,1.1,34.8
472,Redbridge - Barkingside,Redbridge,FALSE,1.5,2600,8600,1950,37.9,35.2,50.5,5513,7.8,40.1,39620,368750,1.2,31.1
473,Redbridge - Bridge,Redbridge,FALSE,2.6,2350,7750,1750,38,29.9,58.6,5683,10.3,14.6,39320,340000,1.1,32.4
474,Redbridge - Chadwell,Redbridge,FALSE,1.5,3750,9600,1500,33.9,28.5,54.5,6343,12.5,27.7,36700,250000,1,29.2
475,Redbridge - Church End,Redbridge,FALSE,1.5,2300,8100,1450,37.1,46.3,61,6381,6.7,19.6,45410,340000,1.1,37.5
476,Redbridge - Clayhall,Redbridge,FALSE,2.5,2650,8850,2100,37.9,34,54,5723,7.4,23,41450,390000,1.4,41.3
477,Redbridge - Clementswood,Redbridge,FALSE,1.3,4750,10950,1250,30.7,32.4,136.7,5459,14.2,115.3,30230,235000,0.8,27.6
478,Redbridge - Cranbrook,Redbridge,FALSE,2.4,2900,8700,1700,36.1,37.2,73,5349,9.1,55,38290,367500,1.2,31.8
479,Redbridge - Fairlop,Redbridge,FALSE,3.6,2700,8450,1800,37.2,25.5,57.7,5906,10.5,27.7,37560,310000,1.2,34.8
480,Redbridge - Fullwell,Redbridge,FALSE,2.2,2750,8350,2100,38.2,26.5,55.4,5407,11.9,26.5,35690,339497.5,1.2,33.4
481,Redbridge - Goodmayes,Redbridge,FALSE,1.6,3400,8900,1150,32.7,31.4,70.3,5407,13.6,69.4,33820,307000,1,29.1
482,Redbridge - Hainault,Redbridge,FALSE,5.6,3050,8600,1900,36.7,20.4,60.4,5304,17.2,22.4,31520,249999,1,23.5
483,Redbridge - Loxford,Redbridge,FALSE,1.3,5150,11300,1200,30.2,31.1,86.2,5618,14.9,96.1,28500,193000,0.7,29.6
484,Redbridge - Mayfield,Redbridge,FALSE,1.9,3400,8900,1650,34.6,29.9,52.5,5561,10.6,52.3,35630,305000,1.2,32
485,Redbridge - Monkhams,Redbridge,FALSE,3.1,1750,6550,2300,43,41.6,48.1,4950,5.7,8.5,48780,499747.5,1.4,41
486,Redbridge - Newbury,Redbridge,FALSE,2.1,4350,11400,1700,33.3,33.4,54.9,6931,11.1,52.5,35550,315000,1.1,33.5
487,Redbridge - Roding,Redbridge,FALSE,2.3,2900,8250,1400,35.3,37,50.3,5951,9.1,21.6,41040,302500,1.1,34
488,Redbridge - Seven Kings,Redbridge,FALSE,2.1,4200,11200,1550,32.9,31.7,87.3,6066,13.1,74.1,34480,294000,1,30.3
489,Redbridge - Snaresbrook,Redbridge,FALSE,2,2150,7900,2050,40.3,50.1,51.8,6214,6.2,20.8,45160,361392.5,1,40.3
490,Redbridge - Valentines,Redbridge,FALSE,1.5,3950,9750,1300,32.6,36.9,104.5,5758,13.7,78.2,34900,225000,0.8,28.9
491,Redbridge - Wanstead,Redbridge,FALSE,5.2,2350,7450,1950,39.5,45.3,71.8,5688,6.8,18.8,46370,460000,1.1,43.5
492,Richmond upon Thames - Barnes,Richmond upon Thames,FALSE,3,2100,6750,1700,39,57.5,55.7,4839,5.8,24.6,55450,1362500,1,45.4
493,Richmond upon Thames - East Sheen,Richmond upon Thames,FALSE,5.8,2500,6400,1650,38.2,61.6,48.7,5108,3.7,14.3,56090,985000,1.1,51.7
494,Richmond upon Thames - Fulwell and Hampton Hill,Richmond upon Thames,FALSE,1.9,2250,6600,1450,38.1,52.8,44.7,5350,6,10.6,48810,480000,1.1,41
495,"Richmond upon Thames - Ham, Petersham & Richmond Riverside",Richmond upon Thames,FALSE,9.4,2000,6700,1900,40.4,46,56,4857,9,20,44870,5e+05,1,40.3
496,Richmond upon Thames - Hampton,Richmond upon Thames,FALSE,6.9,2050,6300,1850,40.3,47.2,49.7,4999,6.5,7.6,46750,599950,1.2,41.2
497,Richmond upon Thames - Hampton North,Richmond upon Thames,FALSE,1.9,1850,6100,1650,39.8,36.3,47.9,4482,11.3,10.2,39440,335000,1.2,35.3
498,Richmond upon Thames - Hampton Wick,Richmond upon Thames,FALSE,2.7,2150,6900,1450,38.4,53.6,46.2,4950,6.8,12.7,46760,455000,1.1,41.4
499,Richmond upon Thames - Heathfield,Richmond upon Thames,FALSE,1.9,2100,6800,1700,38.2,29.8,55.3,4752,10.5,21,36950,380500,1.2,33.1
500,Richmond upon Thames - Kew,Richmond upon Thames,FALSE,3.6,2450,7450,1750,38.7,62,56.7,5807,5.4,21.1,52130,630000,1,47.8
501,Richmond upon Thames - Mortlake and Barnes Common,Richmond upon Thames,FALSE,1.9,2600,7100,1400,36.9,57.6,64.1,5800,6.4,16.8,50100,746500,0.9,44.2
502,Richmond upon Thames - North Richmond,Richmond upon Thames,FALSE,2.8,2200,7250,1600,38.2,59,58.6,5695,6.3,20.4,50860,625625,0.9,48
503,Richmond upon Thames - St. Margarets & North Twickenham,Richmond upon Thames,FALSE,2,2750,8000,1100,35.3,62.6,58.3,6200,4.3,12.2,52870,6e+05,1.1,45.2
504,Richmond upon Thames - South Richmond,Richmond upon Thames,FALSE,2.7,1900,7600,1550,38.7,63.6,110.7,5715,4.7,29.4,52690,655000,0.9,43.8
505,Richmond upon Thames - South Twickenham,Richmond upon Thames,FALSE,1.7,2000,6900,1200,36.6,55.3,35.3,5458,4.6,13.9,51380,555500,1.1,40.4
506,Richmond upon Thames - Teddington,Richmond upon Thames,FALSE,4.3,2050,6900,1600,39,58.5,46.4,5564,5.2,14.7,50600,499950,1.1,44.6
507,Richmond upon Thames - Twickenham Riverside,Richmond upon Thames,FALSE,2,2000,7250,1350,38.2,63.8,66.7,5916,3.9,17.1,51350,458725,0.9,41.7
508,Richmond upon Thames - West Twickenham,Richmond upon Thames,FALSE,2.5,2400,6950,1350,36.8,45.1,55.2,5568,6.4,13.2,45040,450000,1.1,37.4
509,Richmond upon Thames - Whitton,Richmond upon Thames,FALSE,1.6,1900,6300,1800,39.5,36.9,49.6,4802,7,18.1,42230,420000,1.2,39.4
510,Southwark - Brunswick Park,Southwark,TRUE,0.9,2700,9900,950,33.4,41.5,104.8,6446,14.1,56.7,36310,346500,0.5,37
511,Southwark - Camberwell Green,Southwark,TRUE,1,3400,11450,1100,33.5,34.3,111.2,6937,16.2,75.1,31840,310000,0.4,33.9
512,Southwark - Cathedrals,Southwark,TRUE,1.8,1700,14350,1200,33.5,45.8,184.9,7697,12.5,50.7,40430,580000,0.4,30
513,Southwark - Chaucer,Southwark,TRUE,0.8,2300,13050,850,31.6,48.8,114.4,8056,10.1,65.4,37780,442000,0.4,34.2
514,Southwark - College,Southwark,TRUE,3.2,2450,8000,1400,36.7,48.7,73.3,5705,12.2,25.1,42600,350000,0.8,40.6
515,Southwark - East Dulwich,Southwark,TRUE,1,2500,8800,1150,35.6,56.5,60.3,7196,8.8,21.1,48670,572500,0.7,40.7
516,Southwark - East Walworth,Southwark,TRUE,1.1,2450,10300,1100,33.3,32.4,159.3,5291,16.2,65,31010,315000,0.4,34.5
517,Southwark - Faraday,Southwark,TRUE,0.9,3000,9100,1000,32.8,28.6,97.4,5581,13.9,67.7,30760,315000,0.4,31.2
518,Southwark - Grange,Southwark,TRUE,1.2,2500,14100,1000,32.7,46.3,106.2,8428,13.1,67.5,38500,5e+05,0.4,29.6
519,Southwark - Livesey,Southwark,TRUE,1.4,3450,10300,1300,33.3,27.9,98.2,5742,19.8,65.4,28880,289995,0.4,33.8
520,Southwark - Newington,Southwark,TRUE,0.8,2600,11650,1250,34.1,37.5,110.4,6957,15.6,64.1,34190,380000,0.4,36.4
521,Southwark - Nunhead,Southwark,TRUE,1.3,2850,9750,1250,34.8,34.8,68.7,6328,22,51.1,33540,356250,0.5,34.5
522,Southwark - Peckham,Southwark,TRUE,0.9,3650,10600,1100,32.2,30.6,95.7,6258,19.6,62.9,30030,285000,0.5,33.9
523,Southwark - Peckham Rye,Southwark,TRUE,2.3,2950,9450,1150,34.5,49.7,56.5,7263,12.4,23,42820,421000,0.7,39.9
524,Southwark - Riverside,Southwark,TRUE,1.3,2250,13300,1050,34.3,54.9,101.9,8745,10.4,65.8,43110,585000,0.5,30.5
525,Southwark - Rotherhithe,Southwark,TRUE,1.5,2650,11350,1050,33.2,43,97.5,7175,14.6,76.5,36970,421800,0.5,31
526,Southwark - South Bermondsey,Southwark,TRUE,1,2850,10500,1050,33.1,30.9,103.3,6452,16.4,57.2,31150,288025,0.5,30.4
527,Southwark - South Camberwell,Southwark,TRUE,1.3,2550,9700,950,33.3,49,52.2,6543,10.8,30.4,41130,396089,0.6,38.4
528,Southwark - Surrey Docks,Southwark,TRUE,1.9,1950,12500,950,33.9,56,53.7,8567,7.2,54.8,45410,415000,0.6,29.7
529,Southwark - The Lane,Southwark,TRUE,1.4,3550,11450,1450,34.2,42,138.1,7623,15,46.7,37940,407500,0.5,37.6
530,Southwark - Village,Southwark,TRUE,2.8,2800,8200,1500,36.8,63.7,57.5,6258,7,13.9,58400,850000,1,51.7
531,Sutton - Beddington North,Sutton,FALSE,5,2200,6850,1550,38.5,25.1,59.6,5250,7.8,9.1,39290,289000,1.3,33.2
532,Sutton - Beddington South,Sutton,FALSE,3.1,2350,6850,1750,38,26.7,52.9,4718,14.6,8.7,35600,386000,1.3,31.8
533,Sutton - Belmont,Sutton,FALSE,2.3,1900,6600,1800,40.2,40.4,35.6,5042,7.8,11.5,44260,290000,1.2,38
534,Sutton - Carshalton Central,Sutton,FALSE,2,2050,6750,1600,39.1,35.7,44.4,5302,7.4,6.7,42200,318000,1.2,38.1
535,Sutton - Carshalton South and Clockhouse,Sutton,FALSE,7.1,2150,6350,1750,39.4,34.8,34.1,4741,6.9,3.8,44270,419995,1.5,38.2
536,Sutton - Cheam,Sutton,FALSE,3.9,1950,6450,2150,41.6,38.6,33.9,4749,4.8,10.9,46220,376000,1.5,41.2
537,Sutton - Nonsuch,Sutton,FALSE,1.9,1900,6950,2050,41.1,27.1,44.4,5402,5.5,8.9,42640,388500,1.4,37.8
538,Sutton - St. Helier,Sutton,FALSE,1.5,3050,7950,1300,34.7,17.7,71.9,5418,14.7,16.1,31040,248000,1,22
539,Sutton - Stonecot,Sutton,FALSE,2,2050,7150,1750,39.3,22.5,48.5,5420,6.2,10.1,39210,347500,1.4,32
540,Sutton - Sutton Central,Sutton,FALSE,1.3,2500,7800,1300,36,31.2,158.4,5793,12.3,25.3,35660,240000,0.8,30.2
541,Sutton - Sutton North,Sutton,FALSE,1.9,2200,6550,1850,39.5,25.7,46.1,4959,8.3,14.4,38060,300500,1.1,33.6
542,Sutton - Sutton South,Sutton,FALSE,1.3,1700,6600,1700,40.3,41.6,42.5,5073,8.2,24.1,40460,250000,0.9,34.4
543,Sutton - Sutton West,Sutton,FALSE,1.8,2050,7350,1550,38.5,38.6,33.8,5686,5.8,18,41610,270000,1.1,33.9
544,Sutton - The Wrythe,Sutton,FALSE,1.5,2100,6900,1500,37.8,23.2,61.4,5289,9.8,6.2,36790,257500,1.1,29.7
545,Sutton - Wallington North,Sutton,FALSE,1.6,2250,7100,1500,37.8,30.3,50.6,5531,10,7,38710,272000,1.1,38.2
546,Sutton - Wallington South,Sutton,FALSE,1.7,2000,6800,1850,40.2,32,50.5,4886,10.7,11.5,37960,246000,1.1,37.3
547,Sutton - Wandle Valley,Sutton,FALSE,2.1,3000,8100,1150,33.8,21.5,65.6,5601,15.1,12.8,32330,243500,1,26.6
548,Sutton - Worcester Park,Sutton,FALSE,2,2650,7600,1700,37.4,30.8,44.6,6052,7.5,14.2,40610,338000,1.2,33.8
549,Tower Hamlets - Bethnal Green North,Tower Hamlets,TRUE,0.8,2650,11150,950,32.2,40.2,119,6580,16.1,74.7,36230,383000,0.4,34.4
550,Tower Hamlets - Bethnal Green South,Tower Hamlets,TRUE,0.9,2900,11550,750,30.2,35.5,121.3,5934,15.2,90.3,32860,357500,0.3,35.6
551,Tower Hamlets - Blackwall and Cubitt Town,Tower Hamlets,TRUE,3,4350,17800,1100,30.8,50.8,60.3,10684,12.1,104,43330,380000,0.5,27.8
552,Tower Hamlets - Bow East,Tower Hamlets,TRUE,1.9,2750,11800,1050,32.7,42,98.9,7655,17.8,52.5,36800,325000,0.4,31.5
553,Tower Hamlets - Bow West,Tower Hamlets,TRUE,1.3,2700,9950,1050,32.9,43.6,98.5,6262,13.5,64.1,41000,415000,0.5,38.3
554,Tower Hamlets - Bromley-by-Bow,Tower Hamlets,TRUE,1.1,4850,13900,1000,29.3,27.9,79.3,5386,21.8,68.3,31980,302500,0.4,35.4
555,Tower Hamlets - East India and Lansbury,Tower Hamlets,TRUE,1.2,4250,11250,1000,30.3,23.4,108.4,5124,23.9,69.3,29680,293000,0.4,32.8
556,Tower Hamlets - Limehouse,Tower Hamlets,TRUE,1.1,3800,12350,950,31.1,37.4,88.8,7314,19.2,81.6,36260,375000,0.5,34.6
557,Tower Hamlets - Mile End and Globe Town,Tower Hamlets,TRUE,0.9,2950,12300,950,30.3,34.2,86.6,6271,12.9,70.6,34300,385000,0.4,35.8
558,Tower Hamlets - Mile End East,Tower Hamlets,TRUE,1.1,3400,11000,800,29.6,31.9,87.3,5276,18.8,89,32510,325000,0.4,34.1
559,Tower Hamlets - Millwall,Tower Hamlets,TRUE,2.5,4500,20850,1000,31,57.2,74.4,13759,9.1,90.6,46940,420000,0.5,27.6
560,Tower Hamlets - St. Dunstan's and Stepney Green,Tower Hamlets,TRUE,1,3800,12050,1300,31.4,29.9,78.5,6098,19.3,94,32930,363250,0.4,37.4
561,Tower Hamlets - St. Katherine's and Wapping,Tower Hamlets,TRUE,1.5,2000,10700,900,34.3,57.8,96,7619,10.2,61.2,50770,453000,0.6,36.3
562,Tower Hamlets - Shadwell,Tower Hamlets,TRUE,1,3700,11250,950,30.7,37.7,86.9,6534,14.8,71.6,36360,370000,0.4,38.3
